question,answer
Is Venus bigger or smaller than Earth?,Venus is almost the same size as Earth – it’s like Earth’s twin sister!
Why do we call Venus Earth’s twin?,"Because it’s almost the same size and made of rock, but it’s way too hot to live on."
How far is Venus from the Sun?,Venus is about 108 million kilometers (67 million miles) from the Sun.
How hot is Venus?,It’s over 460°C (860°F) all the time – hot enough to melt lead!
Why's Venus the hottest planet?,It has a super thick blanket of carbon dioxide gas that traps heat like a giant greenhouse.
What's the greenhouse effect on Venus?,"The thick atmosphere traps the Sun’s heat so it can’t escape, making the planet super toasty."
Does Venus have any moons?,"No, Venus has zero moons."
How long is one day on Venus?,One day on Venus (sunrise to sunrise) lasts 243 Earth days – longer than its year!
How long is a year on Venus?,A year on Venus is 225 Earth days – shorter than on Earth.
Why does Venus spin backwards?,Venus spins the opposite way from most planets – on Venus the Sun rises in the west!
What color is Venus in the sky?,Venus is bright white-yellow and is the brightest thing in the sky after the Sun and Moon.
Why's Venus so bright from Earth?,"It’s covered in thick white clouds that reflect sunlight really well, and it comes quite close to Earth."
Can we see Venus without a telescope?,Yes! It’s often called the Evening Star or Morning Star because it shines so brightly.
What are the clouds on Venus made of?,"They’re made of sulfuric acid – like nasty, poisonous rain that never reaches the ground."
Does it rain on Venus?,"Yes, but the rain is sulfuric acid and it evaporates before hitting the ground."
What's the surface of Venus like?,"It’s rocky with thousands of volcanoes, huge lava plains, and mountains."
Are there active volcanoes on Venus?,Scientists think some might still be active – Venus is a very volcanic world!
How thick is Venus’s atmosphere?,It’s about 90 times thicker than Earth’s – it would crush you like the bottom of the ocean.
Can humans breathe on Venus?,No way! The air is mostly carbon dioxide and full of poisonous gases.
Who was Venus named after?,Venus was named after the Roman goddess of love and beauty because it looks so pretty in the sky.
How many spacecraft have landed on Venus?,Only Soviet spacecraft have landed – the Venera probes – and they melted quickly!
How long did the longest Venus lander survive?,The record is about 2 hours before the heat and pressure destroyed it.
Is there lightning on Venus?,Yes! Scientists have seen huge lightning storms in the thick clouds.
Why does Venus have almost no water?,The extreme heat long ago boiled all the water away into space.
Does Venus have craters?,Not many – lava from volcanoes covered most old craters.
What's the highest mountain on Venus?,Maxwell Montes – it’s taller than Mount Everest!
How strong is the wind on Venus?,"Near the ground it’s slow, but high in the clouds it blows over 350 km/h – faster than a hurricane!"
What's super-rotation on Venus?,The clouds go all the way around the planet in just 4 Earth days even though the planet spins slowly.
Is there ice on Venus?,No – it’s far too hot everywhere for ice.
What's Venus’s sky color if you stood there?,It would look orange-yellow because of the thick clouds.
Can people ever live on Venus?,"Not on the ground, but some scientists dream about floating cities high in the cooler clouds."
How much would you weigh on Venus?,Almost the same as on Earth because it’s nearly the same size and gravity.
What's a transit of Venus?,When Venus passes directly between Earth and the Sun – it looks like a small black dot on the Sun.
How often does a transit of Venus happen?,"Very rarely – they come in pairs 8 years apart, then wait over 100 years."
Does Venus have seasons?,"No, because it has almost no tilt – every day is the same."
Where's the pressure highest on Venus?,On the surface – it’s like being 900 meters under the ocean on Earth.
Why can’t we see the surface of Venus with normal telescopes?,The thick clouds hide everything – we need radar to see through them.
What spacecraft mapped Venus with radar?,The Magellan spacecraft in the 1990s made the best maps of the hidden surface.
Is Venus getting hotter or cooler?,It’s stayed about the same super-hot temperature for billions of years.
What's the Soviet Venera program?,A series of brave Russian probes that took the only photos ever from Venus’s surface.
Can you see stars from Venus during the day?,No – the thick clouds make the sky bright all the time.
Why does Venus shine so long in the evening?,"It follows the Sun down or comes up before the Sun, so we can see it for hours."
Does Venus have earthquakes?,They’re called venusquakes – the ground sometimes shakes from shrinking or volcanoes.
How many volcanoes are on Venus?,"Over 1,600 big ones have been counted, and probably millions of small ones!"
Is Venus a rocky planet?,"Yes, it’s a rocky terrestrial planet just like Earth, Mercury, and Mars."
What would happen if you took off your spacesuit on Venus?,"You’d be crushed, burned, and poisoned all at once in seconds!"
Will we go back to Venus soon?,Yes! NASA and Europe are planning new missions like VERITAS and EnVision for the 2030s.
What's special about Venus’s day being longer than its year?,It’s the only planet where a day lasts longer than a year – very strange!
Why's Venus sometimes called Earth’s evil twin?,Because it’s almost the same size but turned into a deadly hot hell instead of a nice home.
How big is Mercury?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
What is Mercury's size?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
What's the diameter of Mercury?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
how big Mercury is?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
Mercury size?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
How large is the planet Mercury?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
What is Mercury's diameter?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
Tell me about Mercury's size.,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
How does Mercury compare in size to Earth?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
What are the dimensions of Mercury?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
How big is Venus?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
What is Venus's size?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
What's the diameter of Venus?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
How large is Venus?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
Venus size?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
What is the size of the planet Venus?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
How does Venus compare in size to Earth?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
Tell me about Venus's dimensions.,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
What is Venus's diameter?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
Is Venus bigger or smaller than Earth?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
How big is Earth?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
What is Earth's size?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
What's the diameter of Earth?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
What is Earth's diameter?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
How large is our planet?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
Earth size?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
How big is our world?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
What is the size of planet Earth?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
What are the dimensions of Earth?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
How wide is Earth?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
How big is Mars?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
What is the size of Mars?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
What's the diameter of Mars?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
How large is Mars?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
Mars size?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
How does Mars's size compare to Earth?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
What is Mars's diameter?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
Tell me about the size of Mars.,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
Is Mars bigger than Earth?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth (so no, it's smaller)."
How big is the Red Planet?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
How big is Jupiter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
What is Jupiter's size?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
How large is Jupiter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
What's Jupiter's diameter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
Jupiter size?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
What is the size of the planet Jupiter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
How does Jupiter's size compare to Earth?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
What are the dimensions of Jupiter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
How massive is Jupiter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
Just how big is Jupiter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
How big is Saturn?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
What is Saturn's size?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
How large is Saturn?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
What's the diameter of Saturn?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
Saturn size?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
What is the size of the ringed planet?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
How does Saturn's size compare to Jupiter?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system (Jupiter is larger)."
What is Saturn's diameter?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
Tell me about Saturn's size.,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
How big is the planet with rings?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
How big is Uranus?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
What is Uranus's size?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
How large is Uranus?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
What's the diameter of Uranus?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
Uranus size?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
What is the size of Uranus?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
How does Uranus compare in size to Earth?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
What is Uranus's diameter?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
Tell me about the size of Uranus.,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
How big is the planet Uranus?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
How big is Neptune?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
What is Neptune's size?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
How large is Neptune?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
What's the diameter of Neptune?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
Neptune size?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
What is the size of Neptune?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
Is Neptune bigger than Uranus?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
What is Neptune's diameter?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
Tell me about Neptune's size.,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
How big is the blue planet Neptune?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
How big is Pluto?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
What is Pluto's size?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
How large is Pluto?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
What's the diameter of Pluto?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
Pluto size?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
How big is the dwarf planet Pluto?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
Is Pluto bigger than Earth's moon?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet. (No, it's smaller than our Moon)."
What is Pluto's diameter?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
Tell me about Pluto's size.,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
How does Pluto's size compare to a planet?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
How big is the Sun?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
What is the Sun's size?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
How large is the Sun?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
What's the diameter of the Sun?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
Sun size?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
How big is our star?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
What is the size of the Sun?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
How does the Sun's size compare to Earth?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
Tell me about the Sun's size.,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
What are the dimensions of the Sun?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
How big is Mercury?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
What's Mercury's size?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
What's the diameter of Mercury?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
how big Mercury is?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
Mercury size?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
How large is the planet Mercury?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
What's Mercury's diameter?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
Tell me about Mercury's size.,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
How does Mercury compare in size to Earth?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
What are the dimensions of Mercury?,"Mercury is 4,879 km (3,032 miles) in diameter. For comparison, that is about one-third the size of Earth."
How big is Venus?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
What's Venus's size?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
What's the diameter of Venus?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
How large is Venus?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
Venus size?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
What's the size of the planet Venus?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
How does Venus compare in size to Earth?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
Tell me about Venus's dimensions.,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
What's Venus's diameter?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
Is Venus bigger or smaller than Earth?,"Venus is 12,104 km (7,521 miles) in diameter, making it nearly identical in size to Earth (Earth is only about 5% larger)."
How big is Earth?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
What's Earth's size?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
What's the diameter of Earth?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
What's Earth's diameter?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
How large is our planet?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
Earth size?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
How big is our world?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
What's the size of planet Earth?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
What are the dimensions of Earth?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
How wide is Earth?,"Earth has a diameter of 12,742 km (7,918 miles) at the equator, making it the largest of the four rocky, terrestrial planets."
How big is Mars?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
What's the size of Mars?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
What's the diameter of Mars?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
How large is Mars?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
Mars size?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
How does Mars's size compare to Earth?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
What's Mars's diameter?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
Tell me about the size of Mars.,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
Is Mars bigger than Earth?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth (so no, it's smaller)."
How big is the Red Planet?,"Mars-is 6,779 km (4,212 miles) in diameter, which is about half the size of Earth."
How big is Jupiter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
What's Jupiter's size?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
How large is Jupiter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
What's Jupiter's diameter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
Jupiter size?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
What's the size of the planet Jupiter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
How does Jupiter's size compare to Earth?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
What are the dimensions of Jupiter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
How massive is Jupiter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
Just how big is Jupiter?,"Jupiter is the largest planet, with a diameter of about 139,820 km (86,880 miles). It is so large that over 1,300 Earths could fit inside it."
How big is Saturn?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
What's Saturn's size?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
How large is Saturn?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
What's the diameter of Saturn?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
Saturn size?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
What's the size of the ringed planet?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
How does Saturn's size compare to Jupiter?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system (Jupiter is larger)."
What's Saturn's diameter?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
Tell me about Saturn's size.,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
How big is the planet with rings?,"Saturn has a diameter of about 116,460 km (72,367 miles) at its equator. It is the second-largest planet, but is known for its spectacular ring system."
How big is Uranus?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
What's Uranus's size?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
How large is Uranus?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
What's the diameter of Uranus?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
Uranus size?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
What's the size of Uranus?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
How does Uranus compare in size to Earth?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
What's Uranus's diameter?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
Tell me about the size of Uranus.,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
How big is the planet Uranus?,"Uranus has a diameter of about 50,724 km (31,518 miles), making it the third-largest planet by diameter. It is an ice giant, about 4 times wider than Earth."
How big is Neptune?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
What's Neptune's size?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
How large is Neptune?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
What's the diameter of Neptune?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
Neptune size?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
What's the size of Neptune?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
Is Neptune bigger than Uranus?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
What's Neptune's diameter?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
Tell me about Neptune's size.,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
How big is the blue planet Neptune?,"Neptune is slightly smaller than Uranus, with a diameter of about 49,244 km (30,598 miles). It is the fourth-largest planet and another ice giant."
How big is Pluto?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
What's Pluto's size?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
How large is Pluto?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
What's the diameter of Pluto?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
